    633137,   0.02846301,   0.09522069,  -0.99255395
    633140,   0.03469121,   0.08911681,  -1.00476062
    633142,   0.03469121,   0.10132456,  -1.00476062
    633144,   0.03469121,   0.09522069,  -0.99865729
    633146,   0.04091930,   0.09522069,  -1.00476062
    633148,   0.05960393,   0.11353230,  -1.00476062
    633150,   0.04714751,   0.10132456,  -0.99865729
    633152,   0.04714751,   0.08301294,  -1.01086390
    633155,   0.04091930,   0.10742843,  -0.99255395
    633157,   0.04091930,   0.08911681,  -1.00476062
    633159,   0.02846301,   0.10742843,  -0.99865729
    633161,   0.03469121,   0.10132456,  -1.00476062
    633163,   0.02846301,   0.10132456,  -0.99255395
    633165,   0.02846301,   0.10742843,  -0.99865729
    633167,   0.03469121,   0.10742843,  -0.99255395
    633169,   0.03469121,   0.10132456,  -0.98645061
    633172,   0.04091930,   0.09522069,  -0.99865729
    633175,   0.03469121,   0.09522069,  -1.00476062
    633177,   0.02223480,   0.10742843,  -0.99865729
    633179,   0.02846301,   0.09522069,  -0.99255395
    633181,   0.00977838,   0.07690907,  -1.01086390
    633183,   0.03469121,   0.10132456,  -0.99255395
    633185,   0.04091930,   0.10132456,  -1.00476062
    633187,   0.03469121,   0.09522069,  -0.99255395
    633190,   0.03469121,   0.08911681,  -0.99865729
    633192,   0.03469121,   0.08301294,  -0.99255395
    633194,   0.02846301,   0.07690907,  -1.00476062
    633196,   0.03469121,   0.09522069,  -0.98645061
    633198,   0.05337572,   0.09522069,  -0.98645061
    633200,   0.04091930,   0.09522069,  -0.99865729
    633202,   0.02846301,   0.10132456,  -0.99865729
    633204,   0.04091930,   0.10132456,  -1.00476062
    633207,   0.03469121,   0.09522069,  -0.99255395
    633209,   0.02846301,   0.10132456,  -0.99255395
    633211,   0.03469121,   0.09522069,  -0.99865729
    633213,   0.04091930,   0.09522069,  -1.00476062
    633216,   0.04091930,   0.08301294,  -1.01086390
    633218,   0.03469121,   0.08911681,  -1.00476062
    633220,   0.03469121,   0.09522069,  -0.99255395
    633222,   0.05337572,   0.10132456,  -0.99865729
    633225,   0.04091930,   0.09522069,  -0.98645061
    633227,   0.02223480,   0.08301294,  -0.99865729
    633229,   0.02846301,   0.09522069,  -1.00476062
    633231,   0.01600659,   0.07690907,  -1.01086390
    633233,   0.03469121,   0.10132456,  -0.99865729
    633235,   0.04091930,   0.09522069,  -1.00476062
    633237,   0.04091930,   0.10742843,  -0.99865729
    633239,   0.04091930,   0.10132456,  -1.00476062
    633242,   0.03469121,   0.10742843,  -1.00476062
    633244,   0.03469121,   0.11353230,  -0.99255395
    633246,   0.04091930,   0.11353230,  -1.01086390
    633248,   0.04714751,   0.11353230,  -1.00476062
    633250,   0.04714751,   0.10742843,  -0.99255395
    633252,   0.04091930,   0.10132456,  -0.99255395
    633254,   0.04091930,   0.09522069,  -0.99865729
    633256,   0.04091930,   0.08301294,  -0.99255395
    633260,   0.05337572,   0.07080519,  -0.98034728
